Orden,Suborden,Renglon,Dia,Hora,Observacion,Conocimiento,Tipo Trafico,Operacion,Cliente,Tipo Operacion,Fecha Ingreso,Contenedor,Descripcion Mercaderia,Dimension,Tipo Contenedor,Volumen,Kilos,Envase,Estado
31900,0,1,2024-11-13,9:30 ,,61981253,Remision,31900-0-1,Piranga Sa,Exportacion,2024-11-12,CAIU-841340-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31866,0,1,2024-11-13,9:30 ,,ISB1579464,Remision,31866-0-1,Lift Van Int. Co S.A,Importacion,2024-11-08,CMAU-094661-0,Mudanza,20,DR,0.00,-4080.00,Contenedor,Realizado
31895,1,1,2024-11-13,9:30 ,,BUA0331464,Remision,31895-1-1,Lift Van Int. Co S.A,Exportacion,2024-11-08,APZU-370159-6,Edmilton Batista De Lima Junior  // Efec,0,  ,0.00,-2200.00,Bultos,Realizado
31899,0,1,2024-11-13,9:30 ,,61981253,Remision,31899-0-1,Piranga Sa,Exportacion,2024-11-12,FANU-151316-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31596,0,1,2024-11-13,9:30 ,,EBKG10553950,Remision,31596-0-1,Lift Van Int. Co S.A,Exportacion,2024-10-28,GLDU-948595-8,Vacio,20,DR,0.00,0.00,Contenedor,Realizado
31829,0,1,2024-11-13,9:30 ,,62647146,Remision,31829-0-1,Mercovan Argentina Srl,Exportacion,2024-11-07,HLXU-846225-0,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31811,0,1,2024-11-13,9:00 ,,245841556,Remision,31811-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRSU-564629-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31756,0,1,2024-11-13,9:00 ,,245471387,Remision,31756-0-1,Arleather S.R.L.,Exportacion,2024-11-04,MSKU-119170-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31754,0,1,2024-11-13,9:00 ,,245471387,Remision,31754-0-1,Arleather S.R.L.,Exportacion,2024-11-04,HASU-447678-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31821,0,1,2024-11-13,9:00 ,,245737435,Remision,31821-0-1,Mader Zu S.R.L.,Exportacion,2024-11-06,MRKU-275496-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31810,0,1,2024-11-13,9:00 ,,245841556,Remision,31810-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-324609-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31763,0,1,2024-11-13,9:00 ,,245469497,Remision,31763-0-1,Arleather S.R.L.,Exportacion,2024-11-04,MRKU-233063-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31762,0,1,2024-11-13,9:00 ,,245469497,Remision,31762-0-1,Arleather S.R.L.,Exportacion,2024-11-04,BEAU-575691-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31767,0,1,2024-11-13,9:00 ,,245471291,Remision,31767-0-1,Arleather S.R.L.,Exportacion,2024-11-04,MSKU-017377-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31766,0,1,2024-11-13,9:00 ,,245471291,Remision,31766-0-1,Arleather S.R.L.,Exportacion,2024-11-04,MRSU-401245-4,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31849,0,1,2024-11-13,8:30 ,,340400038764,Remision,31849-0-1,Norfor Sa,Exportacion,2024-11-08,GCXU-605573-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31848,0,1,2024-11-13,8:30 ,,340400038764,Remision,31848-0-1,Norfor Sa,Exportacion,2024-11-08,TGBU-692467-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31905,0,1,2024-11-13,8:30 ,,69978293,Remision,31905-0-1,Carpal Sa,Exportacion,2024-11-11,FANU-313236-8,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31764,0,1,2024-11-13,9:00 ,,245469497,Remision,31764-0-1,Arleather S.R.L.,Exportacion,2024-11-04,MRSU-466868-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31904,0,1,2024-11-13,8:30 ,,69978293,Remision,31904-0-1,Carpal Sa,Exportacion,2024-11-11,GCXU-596553-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31829,1,1,2024-11-13,8:00 ,,24001PE01000486R,Remision,31829-1-1,Mercovan Argentina Srl,Exportacion,2024-10-29,HLXU-846225-0,"Arieu, Giselle // Efectos Pers.",0,  ,0.00,-6188.00,Bultos,Realizado
31888,0,1,2024-11-14,9:30 ,,EBKG10593886,Remision,31888-0-1,Tipoiti Satic,Exportacion,2024-11-11,MSDU-896122-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31855,0,1,2024-11-14,9:30 ,,246475697,Remision,31855-0-1,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-032396-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31854,0,1,2024-11-14,9:30 ,,246475697,Remision,31854-0-1,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-060694-3,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31858,0,1,2024-11-14,9:30 ,,340400038608,Remision,31858-0-1,Norfor Sa,Exportacion,2024-11-08,TCLU-858638-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31852,0,1,2024-11-14,9:30 ,,246475697,Remision,31852-0-1,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-096368-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31898,0,1,2024-11-14,9:30 ,,LA0392406,Remision,31898-0-1,Tipoiti Satic,Exportacion,2024-11-11,CIPU-501951-5,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31853,0,1,2024-11-14,9:30 ,,246475697,Remision,31853-0-1,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-023676-7,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31846,0,1,2024-11-14,9:30 ,,245841526,Remision,31846-0-1,Arleather S.R.L.,Exportacion,2024-11-08,HASU-519267-0,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31894,0,1,2024-11-14,8:30 ,,245472435,Remision,31894-0-1,Arleather S.R.L.,Exportacion,2024-11-12,             ,Fc 678 - Lote 2330/2342,0,  ,0.00,52390.00,Bultos,Pendiente
31850,0,1,2024-11-14,9:30 ,,245841756,Remision,31850-0-1,Arleather S.R.L.,Exportacion,2024-11-08,TCKU-776044-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31852,0,1,2024-11-14,10:00,,246475697,Remision,31852-0-1,Minera Santa Rita Srl,Exportacion,2024-11-08,MRKU-096368-4,Vacio,40,DR,0.00,0.00,Contenedor,Realizado
31883,0,1,2024-11-14,10:00,,246475685,Remision,31883-0-1,Minera Santa Rita Srl,Exportacion,2024-11-11,             ,246475685 // Fact 14-416,0,  ,0.00,-26322.00,Bultos,Realizado
31883,0,1,2024-11-14,10:00,,246475685,Remision,31883-0-1,Minera Santa Rita Srl,Exportacion,2024-11-11,             ,246475685 // Fact 14-416,0,  ,0.00,-26322.00,Bultos,Realizado
31883,0,1,2024-11-14,10:00,,246475685,Remision,31883-0-1,Minera Santa Rita Srl,Exportacion,2024-11-11,             ,246475685 // Fact 14-416,0,  ,0.00,-26322.00,Bultos,Realizado
31883,0,1,2024-11-14,10:00,,246475685,Remision,31883-0-1,Minera Santa Rita Srl,Exportacion,2024-11-11,             ,246475685 // Fact 14-416,0,  ,0.00,-26322.00,Bultos,Realizado
31883,0,1,2024-11-14,10:00,,246475685,Remision,31883-0-1,Minera Santa Rita Srl,Exportacion,2024-11-11,             ,246475685 // Fact 14-416,0,  ,0.00,-26322.00,Bultos,Realizado
31857,0,1,2024-11-14,9:00 ,,340400038608,Remision,31857-0-1,Norfor Sa,Exportacion,2024-11-08,EMCU-155479-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31847,0,1,2024-11-14,9:30 ,,245841526,Remision,31847-0-1,Arleather S.R.L.,Exportacion,2024-11-08,SEKU-697041-7,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31856,0,1,2024-11-14,9:00 ,,340400038608,Remision,31856-0-1,Norfor Sa,Exportacion,2024-11-08,TXGU-568441-3,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,9:00 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31785,0,1,2024-11-14,9:00 ,,246069391,Remision,31785-0-1,Helvecia S.A.,Exportacion,2024-11-06,MSKU-994962-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31901,0,1,2024-11-14,8:00 ,,65311784,Remision,31901-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,BMOU-667086-6,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31902,0,1,2024-11-14,8:00 ,,65311784,Remision,31902-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,HLXU-850613-1,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31903,0,1,2024-11-14,8:30 ,,65311784,Remision,31903-0-1,Suabia Maderas Srl,Exportacion,2024-11-11,FBLU-017496-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31828,0,1,2024-11-14,9:00 ,,BUA0329583,Remision,31828-0-1,Pelama Chubut S.A.,Exportacion,2024-11-07,TRHU-106661-3,Vacio,20,DR,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,8:30 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,8:30 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,8:30 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31808,0,1,2024-11-14,9:00 ,,245841724,Remision,31808-0-1,Arleather S.R.L.,Exportacion,2024-11-06,HASU-457301-2,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
31807,0,1,2024-11-14,8:30 ,,245841724,Remision,31807-0-1,Arleather S.R.L.,Exportacion,2024-11-06,MRKU-331109-9,Vacio,40,HC,0.00,0.00,Contenedor,Realizado
