Dia,Cliente,Desc. Merc.,Booking,Contenedor,Obs.,Envase,Cantidad,Volumen,Ubic.,Estado
01/07,Hdv Leather S.R.L.,Lote 3182,,,2 pallet x cntr,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3177,,,2 pallet x cntr,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3174,,,2 pallet x cntr,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3183,,,-,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3182,,,-,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3177,,,-,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3174,,,-,Bultos,10,60,CTNNAC,Realizado
01/07,Hdv Leather S.R.L.,Lote 3183,,,2 pallet x cntr,Bultos,10,60,CTNNAC,Realizado
02/07,Hdv Leather S.R.L.,Lote 3126,,,-,Bultos,10,60,CTNNAC,Pendiente
02/07,Hdv Leather S.R.L.,Lote 3165,,,-,Bultos,10,60,CTNNAC,Pendiente
02/07,Hdv Leather S.R.L.,Lote 3164,,,-,Bultos,10,60,CTNNAC,Pendiente
02/07,Hdv Leather S.R.L.,Lote 3148,,,-,Bultos,9,60,CTNNAC,Pendiente
