Dia,Hora,Tipo Turno,Operacion,Cliente,Contenedor,Envase,Cantidad,Ubic.
13/11,8:30 ,Remision,31904-0-1,Carpal Sa,GCXU-596553-9,Contenedor,1,TEMPO
13/11,9:30 ,Remision,31596-0-1,Lift Van Int. Co S.A,GLDU-948595-8,Contenedor,1,TEMPO
13/11,9:30 ,Remision,31899-0-1,Piranga Sa,FANU-151316-0,Contenedor,1,TEMPO
13/11,9:30 ,Remision,31900-0-1,Piranga Sa,CAIU-841340-3,Contenedor,1,TEMPO
13/11,9:30 ,Remision,31829-0-1,Mercovan Argentina S...,HLXU-846225-0,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31756-0-1,Arleather S.R.L.,MSKU-119170-9,Contenedor,1,TEMPO
13/11,8:30 ,Remision,31905-0-1,Carpal Sa,FANU-313236-8,Contenedor,1,TEMPO
13/11,8:30 ,Remision,31848-0-1,Norfor Sa,TGBU-692467-1,Contenedor,1,TEMPO
13/11,8:30 ,Remision,31849-0-1,Norfor Sa,GCXU-605573-9,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31766-0-1,Arleather S.R.L.,MRSU-401245-4,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31767-0-1,Arleather S.R.L.,MSKU-017377-9,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31754-0-1,Arleather S.R.L.,HASU-447678-0,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31763-0-1,Arleather S.R.L.,MRKU-233063-8,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31764-0-1,Arleather S.R.L.,MRSU-466868-0,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31821-0-1,Mader Zu S.R.L.,MRKU-275496-0,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31762-0-1,Arleather S.R.L.,BEAU-575691-3,Contenedor,1,TEMPO
13/11,9:00 ,Remision,31811-0-1,Arleather S.R.L.,MRSU-564629-0,Contenedor,1,TEMPO
13/11,9:30 ,Remision,31895-1-1,Lift Van Int. Co S.A,APZU-370159-6,Bultos,82,NV5
13/11,8:00 ,Remision,31829-1-1,Mercovan Argentina S...,HLXU-846225-0,Bultos,420,ANEX-A1
13/11,9:00 ,Remision,31810-0-1,Arleather S.R.L.,MRKU-324609-6,Contenedor,1,TEMPO
